DOID,Gene
DOID:10825,94
DOID:8778,94
DOID:9651,95
DOID:769,95
DOID:9256,95
DOID:684,95
DOID:2043,95
DOID:5082,95
DOID:4467,95
DOID:3602,98
DOID:3347,98
DOID:11396,98
DOID:6713,98
DOID:1612,98
DOID:1324,98
DOID:9256,98
DOID:1107,98
DOID:2998,98
DOID:0110629,98
DOID:162,98
DOID:2876,98
DOID:10591,100
DOID:9074,100
DOID:5810,100
DOID:2841,100
DOID:9352,100
DOID:1184,100
DOID:1059,100
DOID:3590,100
DOID:3393,100
DOID:12849,100
DOID:9801,100
DOID:1074,100
DOID:627,100
DOID:6713,100
DOID:2987,100
DOID:11714,100
DOID:13641,100
DOID:9351,100
DOID:106,100
DOID:10247,100
DOID:0060257,100
DOID:3083,100
DOID:8929,100
DOID:10534,100
DOID:11650,100
DOID:10608,100
DOID:848,100
DOID:7148,100
DOID:9471,100
DOID:7147,100
DOID:5082,100
DOID:14256,100
DOID:10283,100
DOID:0080642,100
DOID:10456,100
DOID:399,100
DOID:10763,100
DOID:7426,100
DOID:9744,100
DOID:9970,100
DOID:0050120,100
DOID:5223,100
DOID:289,100
DOID:1826,100
DOID:769,100
DOID:11612,100
DOID:2957,100
DOID:10923,100
DOID:0050866,100
DOID:934,100
DOID:5419,100
DOID:1324,100
DOID:4962,100
DOID:526,100
DOID:3908,100
DOID:7474,100
DOID:3526,100
DOID:12894,100
DOID:1094,100
DOID:1324,101
DOID:2841,101
DOID:3498,101
DOID:162,101
DOID:1793,101
DOID:3908,101
DOID:0050908,101
DOID:1936,101
DOID:5844,101
DOID:8398,101
DOID:4481,101
DOID:0080685,101
DOID:3347,101
DOID:684,101
DOID:0050902,101
DOID:3083,101
DOID:4074,101
DOID:9256,101
DOID:3068,101
DOID:1612,101
DOID:1036,101
DOID:8552,101
DOID:3371,101
DOID:10534,101
DOID:219,101
DOID:4467,101
DOID:0060224,102
DOID:10652,102
DOID:11949,102
DOID:10534,102
DOID:0050866,102
DOID:219,102
DOID:10283,102
DOID:162,102
DOID:2723,102
DOID:225,102
DOID:1909,102
DOID:305,102
DOID:2513,102
DOID:3068,102
DOID:557,102
DOID:10976,102
DOID:1612,102
DOID:684,102
DOID:1289,102
DOID:1936,102
DOID:9351,102
DOID:0080202,102
DOID:0050746,102
DOID:12995,102
DOID:3908,102
DOID:7148,102
