X,logFC,AveExpr,t,P.Value,adj.P.Val,B,change
55906,0.0781086615560733,5.32238399861746,0.591052386745717,0.557055640753014,0.640183590675538,-6.38245474734134,NOT
55907,0.250154210060624,6.77603821424844,1.69268790130023,0.0965217980346564,0.154875167381236,-5.16396373289915,NOT
55908,-0.11371260082388,2.66786932956494,-2.64644351869496,0.0107477665863188,0.0257461740933512,-3.27903173955275,NOT
55909,0.63371225908043,6.91685596750857,4.52613750126621,3.54492911778055e-05,0.0004472569593932,2.03534768372414,NOT
5591,0.363935326520316,8.67405879694471,3.4915473566386,0.000990784067323674,0.00419180971514592,-1.09938121913564,NOT
55911,0.546161033999802,4.22616391535542,3.28424814748208,0.00183698583462435,0.00653568990606827,-1.67121996193459,NOT
55914,0.487607185708631,9.49967510759137,3.1735838652062,0.0025333721893755,0.0083764595858297,-1.9672285182935,NOT
55915,0.341001064029913,5.64894954613867,2.27289965787222,0.0272091714822507,0.0547126097862484,-4.09869653150319,NOT
55916,0.200301508664173,7.33057674687498,1.67905590899326,0.0991640776389137,0.15840693101816,-5.18570762632977,NOT
55917,1.11828486474162,8.37393593560314,5.32115876314621,2.2375080123239e-06,6.33068843052078e-05,4.67185985046528,Up
